,Итого,Неделя 1,Неделя 2,Неделя 3,Неделя 4,Неделя 5,Неделя 6,Неделя 7,Неделя 8,Неделя 9
,,6.10,13.10,20.10,27.10,3.11,10.11,17.11,24.11,1.12
Жалобы,,,,,,,,,,
Жалоб подано ,82,37,5,20,4,10,0,2,4,0
Жалоб одобрено,18,13,3,0,0,0,0,2,0,0
Жалобы поддержка WB,,,,,,,,,,
Жалоб через поддержку подано,47,0,0,0,6,15,0,0,26,0
Жалоб через поддержку одобрено,0,0,0,0,0,0,0,0,0,0
Чаты,,,,,,,,,,
Отзыв удален ,30,3,7,2,10,5,2,1,0,0
Отзыв дополнен ,6,2,0,2,1,1,0,0,0,0
Возвраты,,,,,,,,,,
Одобрен возврат ,36,5,7,4,11,6,2,1,0,0
Одобрена компенсация ,0,0,0,0,0,0,0,0,0,0
Сумма компенсации ,р.400,р.0,р.100,р.0,р.300,р.0,р.0,р.0,р.0,р.0
,,,,,,,,,,
Итого,54,,,,,,,,,